Muestras,Insertar0,InsertarM,Insertar1,Buscar0,BuscarM,Buscar1,Eliminar0,EliminarM,Eliminar1
7000,0.001,0.0008,0.0003,4.2452,3.7858,4.284,0.0007,5.5219,5.7607
7050,0.0005,0.0004,0.0003,4.5869,3.6351,3.7574,0.0005,4.4542,4.7114
7100,0.0005,0.0005,0.0003,5.6377,4.1391,3.5856,0.0003,3.5743,3.5693
7150,0.0006,0.0003,0.0002,3.5979,3.6198,3.608,0.0004,4.8778,4.3301
7200,0.0006,0.0003,0.0003,3.6551,4.0964,3.6351,0.0004,3.7649,3.9579
7250,0.0006,0.0006,0.0003,4.2731,3.6995,3.6927,0.0006,4.1016,4.1983
7300,0.001,0.0005,0.0003,4.7063,4.9438,3.81,0.0006,3.8766,4.1167
7350,0.001,0.0004,0.0003,4.6694,4.5028,5.9693,0.0005,5.647,5.9691
7400,0.0008,0.0006,0.0003,3.9252,3.8809,4.1468,0.0005,3.7907,5.2204
7450,0.0011,0.0004,0.0004,4.1062,3.8077,4.3666,0.0006,4.4667,3.9241
7500,0.0006,0.0013,0.0006,4.4958,3.8315,3.8187,0.0005,5.1064,3.8793
7550,0.0005,0.0003,0.0004,3.8762,3.9825,3.8135,0.0005,3.7975,3.8181
7600,0.0013,0.0008,0.0003,3.9312,3.8767,3.9856,0.0003,3.9031,3.901
7650,0.0005,0.0002,0.0003,3.9108,4.036,3.8358,0.0004,4.0296,3.8123
7700,0.0005,0.0003,0.0003,4.1955,4.2663,3.9091,0.0004,4.2607,3.9532
7750,0.0006,0.0003,0.0003,4.0092,4.5779,4.0867,0.0003,3.8761,3.95
7800,0.0006,0.0004,0.0003,4.26,3.9275,3.9192,0.0004,5.1566,4.0645
7850,0.0007,0.0003,0.0003,3.9972,5.2868,4.5948,0.0004,4.3262,4.1093
7900,0.0006,0.0004,0.0155,4.0816,4.008,4.0077,0.0005,5.5489,6.2128
7950,0.0006,0.0003,0.0003,4.3053,4.4155,4.2149,0.0004,5.1155,7.7673
8000,0.0005,0.0145,0.0003,4.1165,6.4617,4.2541,0.0003,4.3438,4.3092
8050,0.0005,0.0003,0.0003,4.146,4.3071,4.3995,0.0003,4.0965,4.6678
8100,0.0006,0.0003,0.0003,4.7084,4.0746,4.0731,0.0003,4.9796,7.1139
8150,0.0006,0.0003,0.0003,4.334,5.5294,4.6923,0.0004,4.408,4.1945
8200,0.0006,0.0003,0.0003,4.9369,4.2274,4.6187,0.0005,4.1969,4.1302
8250,0.0006,0.0003,0.0003,4.7265,4.1372,4.2449,0.0003,4.2308,4.7254
8300,0.0005,0.0003,0.0003,4.5088,5.6764,5.004,0.0005,4.2782,4.623
8350,0.0006,0.0004,0.0003,4.2292,4.2002,5.1565,0.0005,4.6734,4.2549
8400,0.0005,0.0005,0.0003,4.6896,4.2851,4.3994,0.0004,4.6466,5.5491
8450,0.0005,0.0003,0.0003,4.5805,5.6381,4.2465,0.0004,4.2327,4.2514
