2e-07,1e-07,1e-07,1e-07,2.4e-06,2.6e-06,1e-07,5e-06,5e-065e-06,5e-06
2e-07,1e-07,1e-07,1e-07,2.4e-06,2.6e-06,1e-07,5.1e-06,5.1e-065.1e-06,5.1e-06
3e-07,1e-07,2e-07,2e-07,2.5e-06,4.8e-06,1e-07,5.1e-06,4.8e-065.1e-06,4.8e-06
2e-07,2e-07,1e-07,1e-07,2.5e-06,5e-07,1e-07,5.2e-06,5.3e-065.2e-06,5.3e-06
3e-07,2e-07,2e-07,1e-07,2e-07,8e-07,1e-07,5.7e-06,5.6e-065.7e-06,5.6e-06
2e-07,2e-07,1e-07,1e-07,2.8e-06,5.2e-06,2e-07,5.6e-06,5.3e-065.6e-06,5.3e-06
5e-07,1e-07,2e-07,3e-07,2.7e-06,7e-07,2e-07,5.7e-06,5.9e-065.7e-06,5.9e-06
2e-07,2e-07,2e-07,1e-07,2.8e-06,2.3e-06,1e-07,5.8e-06,5.9e-065.8e-06,5.9e-06
2e-07,1e-07,2e-07,2e-07,1.4e-06,1.6e-06,1e-07,6.1e-06,6e-066.1e-06,6e-06
3e-07,1e-07,1e-07,2e-07,2.8e-06,4.2e-06,1e-07,6e-06,5.8e-066e-06,5.8e-06
3e-07,1e-07,1e-07,2e-07,2.5e-06,1.9e-06,2e-07,6.2e-06,6.2e-066.2e-06,6.2e-06
3e-07,1e-07,2e-07,2e-07,1.1e-06,5.3e-06,1e-07,6.2e-06,5.8e-066.2e-06,5.8e-06
3e-07,2e-07,1e-07,1e-07,2.5e-06,5.7e-06,1e-07,6.3e-06,5.8e-066.3e-06,5.8e-06
2e-07,1e-07,2e-07,1e-07,3e-06,9e-07,2e-07,6.2e-06,6.4e-066.2e-06,6.4e-06
3e-07,1e-07,2e-07,2e-07,1.2e-06,5.9e-06,2e-07,6.6e-06,5.9e-066.6e-06,5.9e-06
4e-07,2e-07,1e-07,1e-07,3.1e-06,6e-06,2e-07,6.4e-06,6e-066.4e-06,6e-06
3e-07,2e-07,1e-07,2e-07,1.8e-06,6.1e-06,1e-07,6.6e-06,6.1e-066.6e-06,6.1e-06
2e-07,2e-07,1e-07,1e-07,3.2e-06,6.1e-06,2e-07,6.7e-06,6.1e-066.7e-06,6.1e-06
3e-07,2e-07,1e-07,2e-07,3.2e-06,2.2e-06,1e-07,6.6e-06,6.8e-066.6e-06,6.8e-06
3e-07,2e-07,1e-07,2e-07,3.3e-06,3e-07,2e-07,6.7e-06,7e-066.7e-06,7e-06
2e-07,2e-07,1e-07,2e-07,3.3e-06,1.9e-06,2e-07,6.7e-06,6.8e-066.7e-06,6.8e-06
2e-07,2e-07,1e-07,1e-07,5e-07,6e-06,2e-07,7.1e-06,6.6e-067.1e-06,6.6e-06
2e-07,2e-07,1e-07,1e-07,2.1e-06,6.5e-06,1e-07,7.1e-06,6.6e-067.1e-06,6.6e-06
3e-07,2e-07,1e-07,2e-07,3.5e-06,3.2e-06,2e-07,7e-06,7e-067e-06,7e-06
3e-07,1e-07,1e-07,2e-07,3.5e-06,6.8e-06,1e-07,7.1e-06,6.7e-067.1e-06,6.7e-06
3e-07,1e-07,2e-07,1e-07,2e-06,6.7e-06,2e-07,7.4e-06,6.7e-067.4e-06,6.7e-06
3e-07,1e-07,1e-07,2e-07,4e-07,6.8e-06,1e-07,7.7e-06,6.9e-067.7e-06,6.9e-06
3e-07,2e-07,1e-07,1e-07,3.6e-06,5.2e-06,1e-07,7.3e-06,7.1e-067.3e-06,7.1e-06
3e-07,2e-07,1e-07,1e-07,3.7e-06,5.9e-06,1e-07,7.4e-06,7.1e-067.4e-06,7.1e-06
3e-07,2e-07,1e-07,2e-07,3.6e-06,2.4e-06,1e-07,7.4e-06,7.6e-067.4e-06,7.6e-06
3e-07,2e-07,1e-07,1e-07,3.8e-06,1e-06,1e-07,7.6e-06,7.9e-067.6e-06,7.9e-06
3e-07,1e-07,2e-07,1e-07,1.5e-06,1.9e-06,2e-07,8e-06,7.6e-068e-06,7.6e-06
3e-07,2e-07,1e-07,2e-07,3.7e-06,5.8e-06,1e-07,7.7e-06,7.4e-067.7e-06,7.4e-06
